,n_vac,uco,ciu,pt,asig,ta,empleo,efun,cursos,t_max,t_min,fecha_cob,csce,obs,cod_cm
30,2530,USBA «GENERAL ALEMAN RAMIREZ»,54542203,5WA1E/001,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['24-04-2021', '30-05-2021', '13-04-2021', '26-06-2021', '29-05-2021', nan]","338,86","244,959",
31,2531,CENTRO DE FORMACION DE TROPA NUM. 1,55130004,5WA1E/001,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['24-04-2021', '30-05-2021', '13-04-2021', '26-06-2021', '29-05-2021', nan]","338,86","A65,244,959",
32,2532,DIRECCION DE ASISTENCIA AL PERSONAL,56320380,5WA1E/001,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['24-04-2021', '30-05-2021', '13-04-2021', '26-06-2021', '29-05-2021', nan]","338,86","244,656,685,959",
33,2533,PARQUE Y CENTRO DE MANTO. DE SISTEMAS HARDWARE Y SOFTWARE,57200018,5WA1E/001,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['24-04-2021', '30-05-2021', '13-04-2021', '26-06-2021', '29-05-2021', nan]","338,86","244,959",
34,2800,GRUPO DE CUARTEL GENERAL DEL MANDO DE OPERACIONES ESPECIALES,50046137,5SA8C/014,LD,C,SGT1 a SGTO,,OE:E,"['10', nan]",,,"304,34","320,656,959",
35,2801,GRUPO DE CUARTEL GENERAL DEL MANDO DE OPERACIONES ESPECIALES,50046137,5SA8C/015,LD,C,SGT1 a SGTO,,OE:E,"['10', nan]",,,"304,34","320,656,959",
36,2802,CUARTEL GENERAL DEL MANDO DE TROPAS DE MONTAÑA,50083231,5SA8C/001,LD,C,SGT1 a SGTO,,PN:E,"['10', nan]",,,"291,07","516,656,697,959",
37,2803,BATALLON DE CG. DE LA COMGE. DE CEUTA,50024641,5SA3E/004,LD,C,STTE a BG,,IL:E,"['10', nan]",,,"304,34","73,656,959",
38,2804,BATALLON DE CG. DE LA COMGE. DE CEUTA,50024641,5SA8C/004,LD,C,SGT1 a SGTO,,IL:E,"['10', nan]",,,"284,79","73,656,697,959",
39,2805,BATALLON DE CG. DE LA COMGE. DE MELILLA,50066651,5SA3E/003,LD,C,STTE a BG,,IL:E,"['10', nan]",,,"304,34","73,656,959",
40,2806,BATALLON DE CG. DE LA COMGE. DE MELILLA,50066651,5SA8C/007,LD,C,SGT1 a SGTO,,IL:E,"['10', nan]",,,"284,79","73,656,697,959",
41,2807,BATALLON DE CG. DE LA DIVISION «CASTILLEJOS»,50025936,5SA3E/003,LD,C,STTE a BG,,IL:E,"['10', nan]",,,"291,07","73,656,959",
42,2808,BATALLON DE CG. DE LA DIVISION «CASTILLEJOS»,50025936,5SA3E/004,LD,C,STTE a BG,,IL:E,"['10', nan]",,,"291,07","73,656,959",
43,2809,BATALLON DE CG. DE LA DIVISION «SAN MARCIAL»,50047469,5SA3E/003,LD,C,STTE a BG,,IL:E,"['10', nan]",,,"291,07","656,960",
44,2810,BATALLON DE CG. DE LA BRIGADA «EXTREMADURA» XI,50054870,5SA3E/006,LD,C,STTE a BG,,IL:E,"['10', nan]",,,"338,86","73,656,959",
45,2811,BATALLON DE CG. DE LA BRIGADA «EXTREMADURA» XI,50054870,5SA3E/007,LD,C,STTE a BG,,IL:E,"['10', nan]",,,"338,86","73,656,959",
46,2700,CUARTEL GENERAL DE LA FUERZA TERRESTRE,50002382,5SA28/008,LD,C,STTE,"['INFOT', 'TLECO/ELETE', 'TLECO', 'TRA.', nan]",,"['10', '4', nan]",,,"291,07","196,56G, 656,960",
47,2701,GRUPO DE CUARTEL GENERAL DEL MANDO DE OPERACIONES ESPECIALES,50046137,5SB24/001,LD,C,SGTO,"['INFOT', 'TLECO/ELETE', 'TLECO', 'TRA.', nan]",,"['10', '4', nan]",,,"284,79","197,320,959",
48,2702,REGIMIENTO DE GUERRA ELECTRONICA 32,50084861,5WG03/002,LD,C,STTE a BG,"['INFOT', 'TLECO/ELETE', 'TLECO', 'TRA.', nan]",,"['10', '4', nan]",,,"304,34","641,656,959",
49,2703,REGIMIENTO DE TRANSMISIONES 22 (CHINCHILLA),50045316,5SA54/001,LD,C,BG,"['INFOT', 'TLECO/ELETE', 'TLECO', 'TRA.', nan]",,"['10', '4', nan]",,,"257,83","511,532,656,959",
50,2704,REGIMIENTO DE TRANSMISIONES 22 (ALMAGRO),50070928,5SA54/001,LD,C,BG,"['INFOT', 'TLECO/ELETE', 'TLECO', 'TRA.', nan]",,"['10', '4', nan]",,,"257,83","511,532,656,959",
51,2705,GABINETE DEL JEME.,50120101,5SA28/008,LD,C,STTE,"['INFOT', 'TLECO/ELETE', 'TLECO', 'TRA.', nan]",,"['10', '4', nan]",,,"291,07","196,656,960",
52,2706,GABINETE DEL JEME.,50120101,5SA28/009,LD,C,STTE,"['INFOT', 'TLECO/ELETE', 'TLECO', 'TRA.', nan]",,"['10', '4', nan]",,,"291,07","196,656,960",
53,2707,GABINETE DEL JEME.,50120101,5SA28/010,LD,C,STTE,"['INFOT', 'TLECO/ELETE', 'TLECO', 'TRA.', nan]",,"['10', '4', nan]",,,"291,07","196,511,656,960",
54,2708,ESTADO MAYOR DEL EJÉRCITO,51000001,5SA28/020,LD,C,STTE,"['INFOT', 'TLECO/ELETE', 'TLECO', 'TRA.', nan]",,"['10', '4', nan]",,,"291,07","196,355,656,959",
55,2709,"JEFATURA DE LOS SISTEMAS DE INFORMACION TEL, AS.TEC. (POZUELO)",53000012,5WG04/002,LD,C,STTE a BG,"['INFOT', 'TLECO/ELETE', 'TLECO', 'TRA.', nan]",,"['10', '4', nan]",,,"291,07","511,55Z, 656,960",
56,2710,"JEFATURA DE LOS SISTEMAS DE INFORMACION TEL, AS.TEC. (POZUELO)",53000012,5WG09/028,LD,C,STTE a BG,"['INFOT', 'TLECO/ELETE', 'TLECO', 'TRA.', nan]",,"['10', '4', nan]",,,"291,07","55Z, 656,960",
57,2711,"JEFATURA DE LOS SISTEMAS DE INFORMACION TEL, AS.TEC. (POZUELO)",53000012,5WI1G/004,LD,C,SGT1,"['INFOT', 'TLECO/ELETE', 'TLECO', 'TRA.', nan]",,"['10', '4', nan]",,,"231,83","55Z, 656,959",
58,2712,"JEFATURA DE LOS SISTEMAS DE INFORMACION TEL, AS.TEC. (POZUELO)",53000012,5WI1G/003,LD,C,SGT1,"['INFOT', nan]",,,,"['23-07-2021', nan]","231,83","55Z, 656,959",
59,2713,CENTRO DE ADIESTRAMIENTO «SAN GREGORIO»,55100021,5SA28/007,LD,C,STTE,"['INFOT', nan]",,,,"['23-07-2021', nan]","284,79","196,942,960",
60,2714,DIRECCION DE PERSONAL (SAN ROQUE),56221548,5SA28/001,LD,C,STTE,"['INFOT', nan]",,,,"['23-07-2021', nan]","284,79","196,302,960",
61,2715,DIRECCION DE PERSONAL (VALENCIA),56273508,5SA28/002,LD,C,STTE,"['INFOT', nan]",,,,"['23-07-2021', nan]","284,79","196,302,960",
62,2716,DIRECCION DE PERSONAL (VALENCIA),56273508,5SA28/003,LD,C,STTE,"['INFOT', nan]",,,,"['23-07-2021', nan]","284,79","196,302,960",
63,1700,ESTADO MAYOR DEL EJÉRCITO,51000001,5JA12/001,LD,C,TCOL,"['TRA.', nan]","XF:I, FM:I, EM:I","['10', '4', nan]",,,"571,56","656,763,960",
64,1701,ESTADO MAYOR DEL EJÉRCITO,51000001,5JA03/018,LD,C,TCOL,"['TRA.', nan]","XF:I, FM:I, EM:I","['10', '4', nan]",,,"571,56","656,763,960",
65,1702,ESTADO MAYOR DEL EJÉRCITO,51000001,5JA03/030,LD,C,TCOL,"['TRA.', nan]","XF:I, FM:I, EM:I","['10', '4', nan]",,,"571,56","656,763,960",
66,1703,ESTADO MAYOR DEL EJÉRCITO,51000001,5JA03/025,LD,C,TCOL,"['TRA.', nan]","XF:I, FM:I, EM:I","['10', '4', nan]",,,"571,56","656,763,960",
67,1704,ESTADO MAYOR DEL EJÉRCITO,51000001,5JA39/006,LD,C,CTE,"['TRA.', nan]","XF:I, FM:I, EM:I","['10', '4', nan]",,,"489,98","51,656,763,960",
68,1705,ESTADO MAYOR DEL EJÉRCITO,51000001,5JA39/053,LD,C,CTE,"['TRA.', nan]","XF:I, FM:I, EM:I","['10', '4', nan]",,,"489,98","51,656,763,960",
69,1706,ESTADO MAYOR DEL EJÉRCITO,51000001,5JA39/024,LD,C,CTE,"['TRA.', nan]","XF:I, FM:I, EM:I","['10', '4', nan]",,,"489,98","51,656,763,960",
70,1707,ESTADO MAYOR DEL EJÉRCITO,51000001,5JA39/031,LD,C,CTE,"['TRA.', nan]","XF:I, FM:I, EM:I","['10', '4', nan]",,,"489,98","51,656,763,960",
71,1708,ESTADO MAYOR DEL EJÉRCITO,51000001,5JA39/016,LD,C,CTE,"['TRA.', nan]","XF:I, FM:I, EM:I","['10', '4', nan]",,,"489,98","51,656,763,960",
72,1709,ESTADO MAYOR DEL EJÉRCITO,51000001,5JA39/019,LD,C,CTE,"['TRA.', nan]","XF:I, FM:I, EM:I","['10', '4', nan]",,,"489,98","51,656,763,960",
73,1710,ESTADO MAYOR DEL EJÉRCITO,51000001,5JA39/007,LD,C,CTE,"['TRA.', nan]","XF:I, FM:I, EM:I","['10', '4', nan]",,,"489,98","51,656,763,960",
74,1711,ESTADO MAYOR DEL EJÉRCITO,51000001,5JA39/011,LD,C,CTE,"['TRA.', nan]","XF:I, FM:I, EM:I","['10', '4', nan]",,,"489,98","51,656,763,960",
75,1712,REGIMIENTO DE INTELIGENCIA 1,50056833,5JA03/002,LD,C,TCOL,"['TRA.', nan]","J2:I, IS:I, IB:I, TS:I","['10', '4', nan]",,,"615,19","496,656,959",
76,1713,ESTADO MAYOR DEL EJÉRCITO,51000001,5JA39/033,LD,C,CTE,,"SL:I, RV:I, QM:I, GL:I",,,"['25-05-2021', nan]","489,98","656,960",
77,1714,ESTADO MAYOR DEL EJÉRCITO,51000001,5JA03/009,LD,C,TCOL,,"J2:I, IS:I, TS:I",,,"['25-05-2021', nan]","571,56","656,960",
78,1715,ESTADO MAYOR DEL EJÉRCITO,51000001,5JA03/057,LD,C,TCOL,,"J2:I, IS:I, TS:I",,,"['25-05-2021', nan]","571,56","656,960",
79,,"['ESTADO MAYOR DEL EJÉRCITO', 'MADRID', nan]",,"['5WA65/001', nan]","['LD', nan]","['C', nan]","['CTE', nan]","['CONST', nan]","['XF:I, FM:I, EM:I', nan]",,,,"['489,98', nan]","['51,656,763,960', nan]",
80,,"['ESTADO MAYOR DEL EJÉRCITO', 'MADRID', nan]",,"['5WA65/001', nan]","['LD', nan]","['C', nan]","['CTE', nan]","['CONST', nan]","['XF:I, FM:I, EM:I', nan]",,,,"['489,98', nan]","['51,656,763,960', nan]",
81,,"['ESTADO MAYOR DEL EJÉRCITO', 'MADRID', nan]",,"['5WA65/001', nan]","['LD', nan]","['C', nan]","['CTE', nan]","['CONST', nan]","['XF:I, FM:I, EM:I', nan]",,,,"['489,98', nan]","['51,656,763,960', nan]",
82,1800,BATALLON DE HELICOPTEROS DE EMERGENCIAS II (COLMENAR,50013281,5JB09/002,LD,C,CAP a TTE,"['TRA.', nan]",HP:E,"['10', '6', nan]",,,"489,98","546,567,656,959",
83,1801,ACADEMIA DE AVIACION DE EJÉRCITO DE TIERRA (ALMAGRO),55170921,5JA39/001,LD,C,CTE,"['TRA.', nan]",HP:E,"['10', '6', nan]",,,"412,70",959,
84,1802,"JEFATURA DE LOS SISTEMAS DE INFORMACION TEL, AS.TEC. (POZUELO)",53000012,5JA03/006,LD,C,TCOL,"['TRA.', nan]","EW:I, TW:I, TL:I, ID:I, DT:I","['10', '6', nan]",,,"571,56","55Z, 656,960",
85,1803,"JEFATURA DE LOS SISTEMAS DE INFORMACION TEL, AS.TEC. (POZUELO)",53000012,5JA25/008,LD,C,TCOL a CTE,"['TRA.', nan]",ID:E,"['10', '6', nan]",,,"571,56","51E, 656,960",
86,1804,"JEFATURA DE LOS SISTEMAS DE INFORMACION TEL, AS.TEC. (POZUELO)",53000012,5JA63/006,LD,X,CTE a CAP,"['TRA.', nan]",ID:E,"['10', '6', nan]",,,"412,70","51E, 656,960",
87,1805,"JEFATURA DE LOS SISTEMAS DE INFORMACION TEL, AS.TEC. (POZUELO)",53000012,5JA63/003,LD,X,CTE a CAP,"['TRA.', nan]",ID:E,"['10', '6', nan]",,,"412,70","51E, 656,960",
88,1806,"JEFATURA DE LOS SISTEMAS DE INFORMACION TEL, AS.TEC. (POZUELO)",53000012,5JA63/005,LD,X,CTE a CAP,"['TRA.', nan]",ID:E,"['10', '6', nan]",,,"412,70","51E, 656,960",
89,1807,CENTRO DE ADIESTRAMIENTO «SAN GREGORIO»,55100021,5JA25/001,LD,C,TCOL a CTE,"['TRA.', nan]",ID:E,"['10', '6', nan]",,,"412,70","656,942,960",
90,1808,CUARTEL GENERAL DE LA BRIGADA «ALMOGAVARES» VI,50079921,5JA03/002,LD,C,TCOL,"['TRA.', nan]",PA:E,"['10', '6', nan]",,,"662,43","Z85,216,656,959",
91,1809,GRUPO DE CUARTEL GENERAL DEL MANDO DE OPERACIONES ESPECIALES,50046137,5JA77/002,LD,C,CAP,"['TRA.', nan]",OE:E,"['10', '6', nan]",,,"529,69","656,959",
92,1810,"JEFATURA DE LOS SISTEMAS DE INFORMACION TEL, AS.TEC. (POZUELO)",53000012,5JA12/003,LD,C,TCOL,"['TRA.', nan]","EW:I, TW:I, TL:I, DT:I","['10', '6', nan]",,,"571,56","55Z, 656,960",
93,1811,"JEFATURA DE LOS SISTEMAS DE INFORMACION TEL, AS.TEC. (POZUELO)",53000012,5JA12/005,LD,C,TCOL,"['TRA.', nan]","EW:I, TW:I, TL:I, DT:I","['10', '6', nan]",,,"571,56","55Z, 656,960",
94,1812,BATALLON DE CG. DEL CGTAD. (VALENCIA),50030038,5JA77/001,LD,C,CAP,"['TRA.', nan]","IB:E, IN:E","['10', '6', nan]",,,"450,47","215,51A, 656,959",
95,1900,CUARTEL GENERAL DEL MANDO DE TROPAS DE MONTAÑA,50083231,5JA03/001,LD,C,TCOL,"['ART.', nan]",,"['10', '6', '4', nan]",,"['08-08-2021', nan]","571,56","Z85,656,959",
96,1901,CUARTEL GENERAL DE LA BRIGADA «GUZMAN EL BUENO» X,50049816,5JA03/002,LD,C,TCOL,"['ART.', nan]",,"['10', '6', '4', nan]",,"['08-08-2021', nan]","529,69","Z85,656,959",
97,1902,CUARTEL GENERAL DE LA BRIGADA «GUADARRAMA» XII,50053912,5JA03/003,LD,C,TCOL,"['ART.', nan]",,"['10', '6', '4', nan]",,"['08-08-2021', nan]","489,98","Z85,656,959",
98,1903,CUARTEL GENERAL DE LA BRIGADA «ARAGON» I,51067835,5JA03/002,LD,C,TCOL,"['ART.', nan]",,"['10', '6', '4', nan]",,"['08-08-2021', nan]","489,98","Z85,656,959",
99,1904,CUARTEL GENERAL DE LA BRIGADA «CANARIAS» XVI,50075272,5JA03/003,LD,C,TCOL,"['ART.', nan]",,"['10', '6', '4', nan]",,"['08-08-2021', nan]","489,98","Z85,656,959",
100,1905,CUARTEL GENERAL DE LA BRIGADA LOGISTICA,50019208,5JA9U/001,LD,C,CAP,"['ART.', nan]",,"['10', '6', '4', nan]",,"['08-08-2021', nan]","374,87","504,567,656,960",
101,1906,CUARTEL GENERAL TERRESTRE DE ALTA DISPONIBILIDAD (VALENCIA),50030001,5JA03/006,LD,C,TCOL,"['ART.', nan]",,"['10', '6', '4', nan]",,"['08-08-2021', nan]","489,98","98,656,960",
102,1907,CUARTEL GENERAL DEL MAAA.,50032277,5JA08/002,LD,C,TCOL,"['ART.', nan]",,"['10', '6', '4', nan]",,"['08-08-2021', nan]","489,98","Z85,656,959",
103,1908,CUARTEL GENERAL DEL MACA.,50070196,5JA08/005,LD,C,TCOL,"['ART.', nan]",,"['10', '6', '4', nan]",,"['08-08-2021', nan]","489,98","Z85,656,959",
104,1909,CG DEL MANDO DE OPERACIONES ESPECIALES «ÓRDENES MILITARES»,50058114,5JA39/012,LD,C,CTE,"['ART.', nan]",,"['10', '6', '4', nan]",,"['08-08-2021', nan]","489,98","Z85,511,656,959",
105,1910,CENTRO DEPORTIVO SOCIOCULTURAL MILITAR «LA CIUDADELA»,56330010,5JA03/001,LD,D,TCOL,"['ART.', nan]",,"['10', '6', '4', nan]",,"['08-08-2021', nan]","489,98","387,511,546,656,960",
106,1925,USBA «TENIENTE FLOMESTA»,54217747,5J10C/001,LD,C,CAP,,,,,,"284,79","511,960",
107,1926,USAC «CORTIJO DE BUENAVISTA»,54230037,5J10C/001,LD,C,CAP,,,,,,"284,79","511,960",
108,1927,USAC «SANTA BARBARA»,54230040,5J10C/001,LD,C,CAP,,,,,,"284,79","511,960",
109,1928,USBA «EL COPERO»,54230044,5J10C/001,LD,C,CAP,,,,,,"284,79","511,959",
110,1929,JEFATURA DE LA TERCERA SUBINSPECCION GENERAL DEL EJÉRCITO,54330011,5J10C/001,LD,C,CAP,,,,,,"284,79","511,656,960",
111,1930,USAC «HEROES DEL REVELLIN»,54330027,5J10C/001,LD,C,CAP,,,,,,"284,79","511,960",
112,1931,USBA «GENERAL ALMIRANTE»,54330033,5J10C/001,LD,C,CAP,,,,,,"284,79","511,960",
113,1932,USAC «SOYECHE»,54430019,5J10C/001,LD,C,CAP,,,,,,"374,87","511,656,960",
114,1933,JEFATURA DE LA QUINTA SUIGE (TENERIFE),54530001,5J10C/002,LD,C,CAP,,,,,,"284,79","511,656,960",
115,1934,JEFATURA DE LA QUINTA SUIGE (TENERIFE),54530001,5J10C/003,LD,C,CAP,,,,,,"284,79","511,656,960",
116,1935,MUSEO DEL EJÉRCITO (TOLEDO),50400002,5J10C/001,LD,D,CAP,,,,,,"284,79","511,960",
117,1936,CUARTEL GENERAL DEL MANDO DE CANARIAS,50001986,5W204/001,LD,C,CAP,ADMON,,,,,"338,86","656,960",
118,1937,DIRECCION DE ASUNTOS ECONOMICOS,59020600,5W204/005,LD,C,CAP,ADMON,,,,,"304,34","656,960",
119,1938,JEFATURA DEL MANDO DE PERSONAL,56005114,5W206/001,LD,C,CAP,ABSTO,,,,,"304,34","656,960",
120,3800,BATALLON DE HELICOPTEROS DE EMERGENCIAS II (BETERA),50075516,5SA3E/003,CM,C,STTE a BG,"['ARTC', 'I.LIG', nan]","HC:I, HR:I","['10', nan]","['3', nan]",,"304,34","546,656,959",GM18
121,3801,BATALLON DE CG. DE LAS FAMET,50045588,5SA3E/002,CM,C,STTE a BG,"['ARTC', 'I.LIG', nan]",HP:E,"['10', nan]","['3', nan]",,"374,87","546,656,959",GM18
122,3802,BATALLON DE HELICOPTEROS DE EMERGENCIAS II (BETERA),50075516,5SA3E/004,CM,C,STTE a BG,"['ARTC', 'I.LIG', nan]",HP:E,"['10', nan]","['3', nan]",,"374,87","546,656,959",GM18
123,3803,BATALLON DE HELICOPTEROS DE MANIOBRA VI,50030082,5SA3E/003,CM,C,STTE a BG,"['ARTC', 'I.LIG', nan]",HP:E,"['10', nan]","['3', nan]",,"374,87","546,656,959",GM18
124,3804,RGTO. DE INF. «AMERICA» N.o 66 DE CAZADORES DE MONTAÑA,50038946,5SA19/002,CM,C,STTE,"['ARTC', 'I.LIG', nan]",TM:E,"['10', nan]","['3', nan]",,"374,87",959,GM18
125,3805,CUARTEL GENERAL DEL MANDO DE TROPAS DE MONTAÑA,50083231,5SA28/001,CM,C,STTE,"['ARTC', 'I.LIG', nan]",TM:E,"['10', nan]","['3', nan]",,"374,87","656,959",GM18
126,3806,CUARTEL GENERAL DEL MANDO DE TROPAS DE MONTAÑA,50083231,5SA51/001,CM,C,BG,"['ARTC', 'I.LIG', nan]",TM:E,"['10', nan]","['3', nan]",,"338,86","656,959",GM26
127,3807,CUARTEL GENERAL DEL MANDO DE TROPAS DE MONTAÑA,50083231,5SA50/003,CM,C,BG,"['ARTC', 'I.LIG', nan]",TM:E,"['10', nan]","['3', nan]",,"338,86","656,959",GM26
