,n_vac,uco,ciu,pt,asig,ta,empleo,efun,cursos,t_max,t_min,fecha_cob,csce,obs,cod_cm,ejercito,cuerpo_esc,nivel
12,02512,REGIMIENTO ACORAZADO «PAVIA»4,51094394,5WA1E/001,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['29-05-2021', '13-04-2021', '30-05-2021', '24-04-2021', '26-06-2021', nan]","374,87","244,605,606,959",,,,
13,02513,BATALLON DE ZAPADORES XVI,50039818,5WA1E/001,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['29-05-2021', '13-04-2021', '30-05-2021', '24-04-2021', '26-06-2021', nan]","374,87","244,609,959",,,,
14,02514,AGRUPACION DE APOYO LOGISTICO N.o 81.,50038203,5WA1E/001,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['29-05-2021', '13-04-2021', '30-05-2021', '24-04-2021', '26-06-2021', nan]","374,87","244,959",,,,
15,02515,AGRUPACION DE APOYO LOGISTICO N.o 11. (COLMENAR),50047849,5WA1E/001,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['29-05-2021', '13-04-2021', '30-05-2021', '24-04-2021', '26-06-2021', nan]","374,87","244,959",,,,
16,02516,REGIMIENTO DE ARTILLERIA DE COSTA 4 (SAN FERNANDO),50012789,5WA1E/001,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['29-05-2021', '13-04-2021', '30-05-2021', '24-04-2021', '26-06-2021', nan]","374,87","244,607,608,959",,,,
17,02517,CUARTEL GENERAL DEL MING.,50059971,5WA1E/001,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['29-05-2021', '13-04-2021', '30-05-2021', '24-04-2021', '26-06-2021', nan]","374,87","244,609,656,959",,,,
18,02518,BATALLON DE HELICOPTEROS DE ATAQUE I,50065595,5WA1E/002,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['29-05-2021', '13-04-2021', '30-05-2021', '24-04-2021', '26-06-2021', nan]","374,87","244,959",,,,
19,02519,REGIMIENTO DE INGENIEROS 1,50081154,5WA1E/002,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['29-05-2021', '13-04-2021', '30-05-2021', '24-04-2021', '26-06-2021', nan]","374,87","244,609,959",,,,
20,02520,CUARTEL GENERAL DEL MANDO DE TRANSMISIONES,50085418,5WA1E/001,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['29-05-2021', '13-04-2021', '30-05-2021', '24-04-2021', '26-06-2021', nan]","374,87","244,610,656,959",,,,
21,02521,CENTRO GEOGRAFICO DEL EJÉRCITO DE TIERRA,53000008,5WA1E/001,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['29-05-2021', '13-04-2021', '30-05-2021', '24-04-2021', '26-06-2021', nan]","338,86","244,959",,,,
22,02522,ACADEMIA DE CABALLERIA,55107701,5SA06/002,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['29-05-2021', '13-04-2021', '30-05-2021', '24-04-2021', '26-06-2021', nan]","338,86","A65,244,959",,,,
23,02523,ACADEMIA DE INGENIEROS,55101706,5SA09/002,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['29-05-2021', '13-04-2021', '30-05-2021', '24-04-2021', '26-06-2021', nan]","338,86","A65,244,959",,,,
24,02524,USBA «GENERAL CAVALCANTI»,54130015,5WA1E/001,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['29-05-2021', '13-04-2021', '30-05-2021', '24-04-2021', '26-06-2021', nan]","338,86","244,959",,,,
25,02525,USBA «OROEL»,54330035,5WA1E/001,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['29-05-2021', '13-04-2021', '30-05-2021', '24-04-2021', '26-06-2021', nan]","338,86","244,959",,,,
26,02526,USBA «EL EMPECINADO»,54420121,5WA1E/001,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['29-05-2021', '13-04-2021', '30-05-2021', '24-04-2021', '26-06-2021', nan]","338,86","244,959",,,,
27,02527,JEFATURA DE LA CUARTA SUBINSPECCION GENERAL DEL EJÉRCITO,54430001,5WA1E/001,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['29-05-2021', '13-04-2021', '30-05-2021', '24-04-2021', '26-06-2021', nan]","338,86","244,959",,,,
28,02528,USBA «GENERAL MORILLO»,54430023,5WA1E/002,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['29-05-2021', '13-04-2021', '30-05-2021', '24-04-2021', '26-06-2021', nan]","338,86","244,959",,,,
29,02529,JEFATURA DE LA QUINTA SUIGE (TENERIFE),54530001,5WA1E/002,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['29-05-2021', '13-04-2021', '30-05-2021', '24-04-2021', '26-06-2021', nan]","338,86","244,656,959",,,,
30,02530,USBA «GENERAL ALEMAN RAMIREZ»,54542203,5WA1E/001,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['29-05-2021', '13-04-2021', '30-05-2021', '24-04-2021', '26-06-2021', nan]","338,86","244,959",,,,
31,02531,CENTRO DE FORMACION DE TROPA NUM. 1,55130004,5WA1E/001,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['29-05-2021', '13-04-2021', '30-05-2021', '24-04-2021', '26-06-2021', nan]","338,86","A65,244,959",,,,
32,02532,DIRECCION DE ASISTENCIA AL PERSONAL,56320380,5WA1E/001,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['29-05-2021', '13-04-2021', '30-05-2021', '24-04-2021', '26-06-2021', nan]","338,86","244,656,685,959",,,,
33,02533,PARQUE Y CENTRO DE MANTO. DE SISTEMAS HARDWARE Y SOFTWARE,57200018,5WA1E/001,LD,Z,SBMY,"['ING./TRA.', 'CAB.', nan]",,,"['3', nan]","['29-05-2021', '13-04-2021', '30-05-2021', '24-04-2021', '26-06-2021', nan]","338,86","244,959",,,,
34,02800,GRUPO DE CUARTEL GENERAL DEL MANDO DE OPERACIONES ESPECIALES,50046137,5SA8C/014,LD,C,SGT1 a SGTO,,OE:E,"['10', nan]",,,"304,34","320,656,959",,,,
35,02801,GRUPO DE CUARTEL GENERAL DEL MANDO DE OPERACIONES ESPECIALES,50046137,5SA8C/015,LD,C,SGT1 a SGTO,,OE:E,"['10', nan]",,,"304,34","320,656,959",,,,
36,02802,CUARTEL GENERAL DEL MANDO DE TROPAS DE MONTAÑA,50083231,5SA8C/001,LD,C,SGT1 a SGTO,,PN:E,"['10', nan]",,,"291,07","516,656,697,959",,,,
37,02803,BATALLON DE CG. DE LA COMGE. DE CEUTA,50024641,5SA3E/004,LD,C,STTE a BG,,IL:E,"['10', nan]",,,"304,34","73,656,959",,,,
38,02804,BATALLON DE CG. DE LA COMGE. DE CEUTA,50024641,5SA8C/004,LD,C,SGT1 a SGTO,,IL:E,"['10', nan]",,,"284,79","73,656,697,959",,,,
39,02805,BATALLON DE CG. DE LA COMGE. DE MELILLA,50066651,5SA3E/003,LD,C,STTE a BG,,IL:E,"['10', nan]",,,"304,34","73,656,959",,,,
40,02806,BATALLON DE CG. DE LA COMGE. DE MELILLA,50066651,5SA8C/007,LD,C,SGT1 a SGTO,,IL:E,"['10', nan]",,,"284,79","73,656,697,959",,,,
41,02807,BATALLON DE CG. DE LA DIVISION «CASTILLEJOS»,50025936,5SA3E/003,LD,C,STTE a BG,,IL:E,"['10', nan]",,,"291,07","73,656,959",,,,
42,02808,BATALLON DE CG. DE LA DIVISION «CASTILLEJOS»,50025936,5SA3E/004,LD,C,STTE a BG,,IL:E,"['10', nan]",,,"291,07","73,656,959",,,,
43,02809,BATALLON DE CG. DE LA DIVISION «SAN MARCIAL»,50047469,5SA3E/003,LD,C,STTE a BG,,IL:E,"['10', nan]",,,"291,07","656,960",,,,
44,02810,BATALLON DE CG. DE LA BRIGADA «EXTREMADURA» XI,50054870,5SA3E/006,LD,C,STTE a BG,,IL:E,"['10', nan]",,,"338,86","73,656,959",,,,
45,02811,BATALLON DE CG. DE LA BRIGADA «EXTREMADURA» XI,50054870,5SA3E/007,LD,C,STTE a BG,,IL:E,"['10', nan]",,,"338,86","73,656,959",,,,
46,02700,CUARTEL GENERAL DE LA FUERZA TERRESTRE,50002382,5SA28/008,LD,C,STTE,"['INFOT', 'TLECO', 'TRA.', 'TLECO/ELETE', nan]",,"['4', '10', nan]",,,"291,07","196,56G, 656,960",,,,
47,02701,GRUPO DE CUARTEL GENERAL DEL MANDO DE OPERACIONES ESPECIALES,50046137,5SB24/001,LD,C,SGTO,"['INFOT', 'TLECO', 'TRA.', 'TLECO/ELETE', nan]",,"['4', '10', nan]",,,"284,79","197,320,959",,,,
48,02702,REGIMIENTO DE GUERRA ELECTRONICA 32,50084861,5WG03/002,LD,C,STTE a BG,"['INFOT', 'TLECO', 'TRA.', 'TLECO/ELETE', nan]",,"['4', '10', nan]",,,"304,34","641,656,959",,,,
49,02703,REGIMIENTO DE TRANSMISIONES 22 (CHINCHILLA),50045316,5SA54/001,LD,C,BG,"['INFOT', 'TLECO', 'TRA.', 'TLECO/ELETE', nan]",,"['4', '10', nan]",,,"257,83","511,532,656,959",,,,
50,02704,REGIMIENTO DE TRANSMISIONES 22 (ALMAGRO),50070928,5SA54/001,LD,C,BG,"['INFOT', 'TLECO', 'TRA.', 'TLECO/ELETE', nan]",,"['4', '10', nan]",,,"257,83","511,532,656,959",,,,
51,02705,GABINETE DEL JEME.,50120101,5SA28/008,LD,C,STTE,"['INFOT', 'TLECO', 'TRA.', 'TLECO/ELETE', nan]",,"['4', '10', nan]",,,"291,07","196,656,960",,,,
52,02706,GABINETE DEL JEME.,50120101,5SA28/009,LD,C,STTE,"['INFOT', 'TLECO', 'TRA.', 'TLECO/ELETE', nan]",,"['4', '10', nan]",,,"291,07","196,656,960",,,,
53,02707,GABINETE DEL JEME.,50120101,5SA28/010,LD,C,STTE,"['INFOT', 'TLECO', 'TRA.', 'TLECO/ELETE', nan]",,"['4', '10', nan]",,,"291,07","196,511,656,960",,,,
54,02708,ESTADO MAYOR DEL EJÉRCITO,51000001,5SA28/020,LD,C,STTE,"['INFOT', 'TLECO', 'TRA.', 'TLECO/ELETE', nan]",,"['4', '10', nan]",,,"291,07","196,355,656,959",,,,
55,02709,"JEFATURA DE LOS SISTEMAS DE INFORMACION TEL, AS.TEC. (POZUELO)",53000012,5WG04/002,LD,C,STTE a BG,"['INFOT', 'TLECO', 'TRA.', 'TLECO/ELETE', nan]",,"['4', '10', nan]",,,"291,07","511,55Z, 656,960",,,,
56,02710,"JEFATURA DE LOS SISTEMAS DE INFORMACION TEL, AS.TEC. (POZUELO)",53000012,5WG09/028,LD,C,STTE a BG,"['INFOT', 'TLECO', 'TRA.', 'TLECO/ELETE', nan]",,"['4', '10', nan]",,,"291,07","55Z, 656,960",,,,
57,02711,"JEFATURA DE LOS SISTEMAS DE INFORMACION TEL, AS.TEC. (POZUELO)",53000012,5WI1G/004,LD,C,SGT1,"['INFOT', 'TLECO', 'TRA.', 'TLECO/ELETE', nan]",,"['4', '10', nan]",,,"231,83","55Z, 656,959",,,,
58,02712,"JEFATURA DE LOS SISTEMAS DE INFORMACION TEL, AS.TEC. (POZUELO)",53000012,5WI1G/003,LD,C,SGT1,"['INFOT', nan]",,,,"['23-07-2021', nan]","231,83","55Z, 656,959",,,,
59,02713,CENTRO DE ADIESTRAMIENTO «SAN GREGORIO»,55100021,5SA28/007,LD,C,STTE,"['INFOT', nan]",,,,"['23-07-2021', nan]","284,79","196,942,960",,,,
60,02714,DIRECCION DE PERSONAL (SAN ROQUE),56221548,5SA28/001,LD,C,STTE,"['INFOT', nan]",,,,"['23-07-2021', nan]","284,79","196,302,960",,,,
61,02715,DIRECCION DE PERSONAL (VALENCIA),56273508,5SA28/002,LD,C,STTE,"['INFOT', nan]",,,,"['23-07-2021', nan]","284,79","196,302,960",,,,
62,02716,DIRECCION DE PERSONAL (VALENCIA),56273508,5SA28/003,LD,C,STTE,"['INFOT', nan]",,,,"['23-07-2021', nan]","284,79","196,302,960",,,,
63,01700,ESTADO MAYOR DEL EJÉRCITO,51000001,5JA12/001,LD,C,TCOL,"['TRA.', nan]","XF:I, FM:I, EM:I","['4', '10', nan]",,,"571,56","656,763,960",,,,
64,01701,ESTADO MAYOR DEL EJÉRCITO,51000001,5JA03/018,LD,C,TCOL,"['TRA.', nan]","XF:I, FM:I, EM:I","['4', '10', nan]",,,"571,56","656,763,960",,,,
65,01702,ESTADO MAYOR DEL EJÉRCITO,51000001,5JA03/030,LD,C,TCOL,"['TRA.', nan]","XF:I, FM:I, EM:I","['4', '10', nan]",,,"571,56","656,763,960",,,,
66,01703,ESTADO MAYOR DEL EJÉRCITO,51000001,5JA03/025,LD,C,TCOL,"['TRA.', nan]","XF:I, FM:I, EM:I","['4', '10', nan]",,,"571,56","656,763,960",,,,
67,01704,ESTADO MAYOR DEL EJÉRCITO,51000001,5JA39/006,LD,C,CTE,"['TRA.', nan]","XF:I, FM:I, EM:I","['4', '10', nan]",,,"489,98","51,656,763,960",,,,
68,01705,ESTADO MAYOR DEL EJÉRCITO,51000001,5JA39/053,LD,C,CTE,"['TRA.', nan]","XF:I, FM:I, EM:I","['4', '10', nan]",,,"489,98","51,656,763,960",,,,
69,01706,ESTADO MAYOR DEL EJÉRCITO,51000001,5JA39/024,LD,C,CTE,"['TRA.', nan]","XF:I, FM:I, EM:I","['4', '10', nan]",,,"489,98","51,656,763,960",,,,
70,01707,ESTADO MAYOR DEL EJÉRCITO,51000001,5JA39/031,LD,C,CTE,"['TRA.', nan]","XF:I, FM:I, EM:I","['4', '10', nan]",,,"489,98","51,656,763,960",,,,
71,01708,ESTADO MAYOR DEL EJÉRCITO,51000001,5JA39/016,LD,C,CTE,"['TRA.', nan]","XF:I, FM:I, EM:I","['4', '10', nan]",,,"489,98","51,656,763,960",,,,
72,01709,ESTADO MAYOR DEL EJÉRCITO,51000001,5JA39/019,LD,C,CTE,"['TRA.', nan]","XF:I, FM:I, EM:I","['4', '10', nan]",,,"489,98","51,656,763,960",,,,
73,01710,ESTADO MAYOR DEL EJÉRCITO,51000001,5JA39/007,LD,C,CTE,"['TRA.', nan]","XF:I, FM:I, EM:I","['4', '10', nan]",,,"489,98","51,656,763,960",,,,
74,01711,ESTADO MAYOR DEL EJÉRCITO,51000001,5JA39/011,LD,C,CTE,"['TRA.', nan]","XF:I, FM:I, EM:I","['4', '10', nan]",,,"489,98","51,656,763,960",,,,
75,01712,REGIMIENTO DE INTELIGENCIA 1,50056833,5JA03/002,LD,C,TCOL,"['TRA.', nan]","J2:I, IS:I, IB:I, TS:I","['4', '10', nan]",,,"615,19","496,656,959",,,,
76,01713,ESTADO MAYOR DEL EJÉRCITO,51000001,5JA39/033,LD,C,CTE,,"SL:I, RV:I, QM:I, GL:I",,,"['25-05-2021', nan]","489,98","656,960",,,,
77,01714,ESTADO MAYOR DEL EJÉRCITO,51000001,5JA03/009,LD,C,TCOL,,"J2:I, IS:I, TS:I",,,"['25-05-2021', nan]","571,56","656,960",,,,
78,01715,ESTADO MAYOR DEL EJÉRCITO,51000001,5JA03/057,LD,C,TCOL,,"J2:I, IS:I, TS:I",,,"['25-05-2021', nan]","571,56","656,960",,,,
79,,ESTADO MAYOR DEL EJÉRCITO,,5WA65/001,LD,C,CTE,CONST,"XF:I, FM:I, EM:I",,,,"489,98","51,656,763,960",,,,
80,01800,BATALLON DE HELICOPTEROS DE EMERGENCIAS II (COLMENAR,50013281,5JB09/002,LD,C,CAP a TTE,"['TRA.', nan]",HP:E,"['6', '10', nan]",,,"489,98","546,567,656,959",,,,
81,01801,ACADEMIA DE AVIACION DE EJÉRCITO DE TIERRA (ALMAGRO),55170921,5JA39/001,LD,C,CTE,"['TRA.', nan]",HP:E,"['6', '10', nan]",,,"412,70",959,,,,
82,01802,"JEFATURA DE LOS SISTEMAS DE INFORMACION TEL, AS.TEC. (POZUELO)",53000012,5JA03/006,LD,C,TCOL,"['TRA.', nan]","EW:I, TW:I, TL:I, ID:I, DT:I","['6', '10', nan]",,,"571,56","55Z, 656,960",,,,
83,01803,"JEFATURA DE LOS SISTEMAS DE INFORMACION TEL, AS.TEC. (POZUELO)",53000012,5JA25/008,LD,C,TCOL a CTE,"['TRA.', nan]",ID:E,"['6', '10', nan]",,,"571,56","51E, 656,960",,,,
84,01804,"JEFATURA DE LOS SISTEMAS DE INFORMACION TEL, AS.TEC. (POZUELO)",53000012,5JA63/006,LD,X,CTE a CAP,"['TRA.', nan]",ID:E,"['6', '10', nan]",,,"412,70","51E, 656,960",,,,
85,01805,"JEFATURA DE LOS SISTEMAS DE INFORMACION TEL, AS.TEC. (POZUELO)",53000012,5JA63/003,LD,X,CTE a CAP,"['TRA.', nan]",ID:E,"['6', '10', nan]",,,"412,70","51E, 656,960",,,,
86,01806,"JEFATURA DE LOS SISTEMAS DE INFORMACION TEL, AS.TEC. (POZUELO)",53000012,5JA63/005,LD,X,CTE a CAP,"['TRA.', nan]",ID:E,"['6', '10', nan]",,,"412,70","51E, 656,960",,,,
87,01807,CENTRO DE ADIESTRAMIENTO «SAN GREGORIO»,55100021,5JA25/001,LD,C,TCOL a CTE,"['TRA.', nan]",ID:E,"['6', '10', nan]",,,"412,70","656,942,960",,,,
88,01808,CUARTEL GENERAL DE LA BRIGADA «ALMOGAVARES» VI,50079921,5JA03/002,LD,C,TCOL,"['TRA.', nan]",PA:E,"['6', '10', nan]",,,"662,43","Z85,216,656,959",,,,
89,01809,GRUPO DE CUARTEL GENERAL DEL MANDO DE OPERACIONES ESPECIALES,50046137,5JA77/002,LD,C,CAP,"['TRA.', nan]",OE:E,"['6', '10', nan]",,,"529,69","656,959",,,,
90,01810,"JEFATURA DE LOS SISTEMAS DE INFORMACION TEL, AS.TEC. (POZUELO)",53000012,5JA12/003,LD,C,TCOL,"['TRA.', nan]","EW:I, TW:I, TL:I, DT:I","['6', '10', nan]",,,"571,56","55Z, 656,960",,,,
91,01811,"JEFATURA DE LOS SISTEMAS DE INFORMACION TEL, AS.TEC. (POZUELO)",53000012,5JA12/005,LD,C,TCOL,"['TRA.', nan]","EW:I, TW:I, TL:I, DT:I","['6', '10', nan]",,,"571,56","55Z, 656,960",,,,
92,01812,BATALLON DE CG. DEL CGTAD. (VALENCIA),50030038,5JA77/001,LD,C,CAP,"['TRA.', nan]","IB:E, IN:E","['6', '10', nan]",,,"450,47","215,51A, 656,959",,,,
93,01900,CUARTEL GENERAL DEL MANDO DE TROPAS DE MONTAÑA,50083231,5JA03/001,LD,C,TCOL,"['ART.', nan]",,"['4', '10', '6', nan]",,"['08-08-2021', nan]","571,56","Z85,656,959",,,,
94,01901,CUARTEL GENERAL DE LA BRIGADA «GUZMAN EL BUENO» X,50049816,5JA03/002,LD,C,TCOL,"['ART.', nan]",,"['4', '10', '6', nan]",,"['08-08-2021', nan]","529,69","Z85,656,959",,,,
95,01902,CUARTEL GENERAL DE LA BRIGADA «GUADARRAMA» XII,50053912,5JA03/003,LD,C,TCOL,"['ART.', nan]",,"['4', '10', '6', nan]",,"['08-08-2021', nan]","489,98","Z85,656,959",,,,
96,01903,CUARTEL GENERAL DE LA BRIGADA «ARAGON» I,51067835,5JA03/002,LD,C,TCOL,"['ART.', nan]",,"['4', '10', '6', nan]",,"['08-08-2021', nan]","489,98","Z85,656,959",,,,
97,01904,CUARTEL GENERAL DE LA BRIGADA «CANARIAS» XVI,50075272,5JA03/003,LD,C,TCOL,"['ART.', nan]",,"['4', '10', '6', nan]",,"['08-08-2021', nan]","489,98","Z85,656,959",,,,
98,01905,CUARTEL GENERAL DE LA BRIGADA LOGISTICA,50019208,5JA9U/001,LD,C,CAP,"['ART.', nan]",,"['4', '10', '6', nan]",,"['08-08-2021', nan]","374,87","504,567,656,960",,,,
99,01906,CUARTEL GENERAL TERRESTRE DE ALTA DISPONIBILIDAD (VALENCIA),50030001,5JA03/006,LD,C,TCOL,"['ART.', nan]",,"['4', '10', '6', nan]",,"['08-08-2021', nan]","489,98","98,656,960",,,,
100,01907,CUARTEL GENERAL DEL MAAA.,50032277,5JA08/002,LD,C,TCOL,"['ART.', nan]",,"['4', '10', '6', nan]",,"['08-08-2021', nan]","489,98","Z85,656,959",,,,
101,01908,CUARTEL GENERAL DEL MACA.,50070196,5JA08/005,LD,C,TCOL,"['ART.', nan]",,"['4', '10', '6', nan]",,"['08-08-2021', nan]","489,98","Z85,656,959",,,,
102,01909,CG DEL MANDO DE OPERACIONES ESPECIALES «ÓRDENES MILITARES»,50058114,5JA39/012,LD,C,CTE,"['ART.', nan]",,"['4', '10', '6', nan]",,"['08-08-2021', nan]","489,98","Z85,511,656,959",,,,
103,01910,CENTRO DEPORTIVO SOCIOCULTURAL MILITAR «LA CIUDADELA»,56330010,5JA03/001,LD,D,TCOL,"['ART.', nan]",,"['4', '10', '6', nan]",,"['08-08-2021', nan]","489,98","387,511,546,656,960",,,,
104,01925,USBA «TENIENTE FLOMESTA»,54217747,5J10C/001,LD,C,CAP,,,,,,"284,79","511,960",,,,
105,01926,USAC «CORTIJO DE BUENAVISTA»,54230037,5J10C/001,LD,C,CAP,,,,,,"284,79","511,960",,,,
106,01927,USAC «SANTA BARBARA»,54230040,5J10C/001,LD,C,CAP,,,,,,"284,79","511,960",,,,
107,01928,USBA «EL COPERO»,54230044,5J10C/001,LD,C,CAP,,,,,,"284,79","511,959",,,,
108,01929,JEFATURA DE LA TERCERA SUBINSPECCION GENERAL DEL EJÉRCITO,54330011,5J10C/001,LD,C,CAP,,,,,,"284,79","511,656,960",,,,
109,01930,USAC «HEROES DEL REVELLIN»,54330027,5J10C/001,LD,C,CAP,,,,,,"284,79","511,960",,,,
110,01931,USBA «GENERAL ALMIRANTE»,54330033,5J10C/001,LD,C,CAP,,,,,,"284,79","511,960",,,,
111,01932,USAC «SOYECHE»,54430019,5J10C/001,LD,C,CAP,,,,,,"374,87","511,656,960",,,,
112,01933,JEFATURA DE LA QUINTA SUIGE (TENERIFE),54530001,5J10C/002,LD,C,CAP,,,,,,"284,79","511,656,960",,,,
113,01934,JEFATURA DE LA QUINTA SUIGE (TENERIFE),54530001,5J10C/003,LD,C,CAP,,,,,,"284,79","511,656,960",,,,
114,01935,MUSEO DEL EJÉRCITO (TOLEDO),50400002,5J10C/001,LD,D,CAP,,,,,,"284,79","511,960",,,,
115,01936,CUARTEL GENERAL DEL MANDO DE CANARIAS,50001986,5W204/001,LD,C,CAP,ADMON,,,,,"338,86","656,960",,,,
116,01937,DIRECCION DE ASUNTOS ECONOMICOS,59020600,5W204/005,LD,C,CAP,ADMON,,,,,"304,34","656,960",,,,
117,01938,JEFATURA DEL MANDO DE PERSONAL,56005114,5W206/001,LD,C,CAP,ABSTO,,,,,"304,34","656,960",,,,
118,03800,BATALLON DE HELICOPTEROS DE EMERGENCIAS II (BETERA),50075516,5SA3E/003,CM,C,STTE a BG,"['I.LIG', 'ARTC', nan]","HC:I, HR:I","['10', nan]","['3', nan]",,"304,34","546,656,959",GM18,,,
119,03801,BATALLON DE CG. DE LAS FAMET,50045588,5SA3E/002,CM,C,STTE a BG,"['I.LIG', 'ARTC', nan]",HP:E,"['10', nan]","['3', nan]",,"374,87","546,656,959",GM18,,,
120,03802,BATALLON DE HELICOPTEROS DE EMERGENCIAS II (BETERA),50075516,5SA3E/004,CM,C,STTE a BG,"['I.LIG', 'ARTC', nan]",HP:E,"['10', nan]","['3', nan]",,"374,87","546,656,959",GM18,,,
121,03803,BATALLON DE HELICOPTEROS DE MANIOBRA VI,50030082,5SA3E/003,CM,C,STTE a BG,"['I.LIG', 'ARTC', nan]",HP:E,"['10', nan]","['3', nan]",,"374,87","546,656,959",GM18,,,
122,03804,RGTO. DE INF. «AMERICA» N.o 66 DE CAZADORES DE MONTAÑA,50038946,5SA19/002,CM,C,STTE,"['I.LIG', 'ARTC', nan]",TM:E,"['10', nan]","['3', nan]",,"374,87",959,GM18,,,
123,03805,CUARTEL GENERAL DEL MANDO DE TROPAS DE MONTAÑA,50083231,5SA28/001,CM,C,STTE,"['I.LIG', 'ARTC', nan]",TM:E,"['10', nan]","['3', nan]",,"374,87","656,959",GM18,,,
124,03806,CUARTEL GENERAL DEL MANDO DE TROPAS DE MONTAÑA,50083231,5SA51/001,CM,C,BG,"['I.LIG', 'ARTC', nan]",TM:E,"['10', nan]","['3', nan]",,"338,86","656,959",GM26,,,
